sap;descricao;unidade;custo_un;normas
15483/C;15483/C  INST CT DES. 15483/CIMENTO;UN;0.0;
15483/G;15483/G  INST CT DES. 15483/GRAMA;UN;0.0;
15483/P;15483/P  INST CT DES. 15483/PARALELO;UN;0.0;
15483/PP;15483/PP INST CT DES. 15483/P.PORT.;UN;0.0;
15484;15484 INST CT SUBTERRÂNEA DESº 15484;UN;0.0;
15484/A;15484/A  INST CT DES. 15484/ASFALTO;UN;0.0;
15484/C;15484/C  INST CT DES. 15484/CIMENTADO;UN;0.0;
15484/G;15484/G  INST CT DES. 15484/GRAMA;UN;0.0;
15484/P;15484/P  INST CT DES. 15484/PARALELO;UN;0.0;
15484/PP;15484/PP INST CT DES. 15484/P.PORT.;UN;0.0;
15485;15485 INST CT SUBTERRÂNEA DESº 15485;UN;0.0;
15485/A;15485/A  INST CT DES. 15485/ASFALTO;UN;0.0;
15485/C;15485/C  INST CT DES. 15485/CIMENTADO;UN;0.0;
15485/G;15485/G  INST CT DES. 15485/GRAMA;UN;0.0;
15485/P;15485/P  INST CT DES.15485/PARALELO;UN;0.0;
15485/PP;15485/PP INST CT DES. 15485/P.PORT.;UN;0.0;
15486;15486 INST CT SUBTERRÂNEA DESº 15486;UN;0.0;
15486/A;15486/A  INST CT DES. 15486/ASFALTO;UN;0.0;
15486/C;15486/C  INST CT DES. 15486/CIMENTADO;UN;0.0;
15486/G;15486/G  INST CT DES. 15486/GRAMA;UN;0.0;
15486/P;15486/P  INST CT DES. 15486/PARALELO;UN;0.0;
15486/PP;15486/PP INST CT DES. 15486/P.PORT.;UN;0.0;
15487;15487 INST CT SUBTERRÂNEA DESº 15487;UN;0.0;
15487/A;15487/A  INST CT DES. 15487/ASFALTO;UN;0.0;
15487/C;15487/C  INST CT DES. 15487/CIMENTADO;UN;0.0;
15487/G;15487/G  INST CT DES. 15487/G;UN;0.0;
15487/P;15487/P  INST CT DES. 15487/PARALELO;UN;0.0;
15487/PP;15487/PP INST CT DES. 15487/P.PORT.;UN;0.0;
15488;15488 INST CT SUBTERRÂNEA DESº 15488;UN;0.0;
15488/A;15488/A  INST DT DES. 15488/ASFALTO;UN;0.0;
15488/C;15488/C  INST CT DES. 15488/CIMENTADO;UN;0.0;
15488/G;15488/G  INST CT DES. 15488/GRAMA;UN;0.0;
15488/P;15488/P  INST CT DES. 15488/PARALELO;UN;0.0;
15488/PP;15488/PP INST CT DES. 15488/P.PORT.;UN;0.0;
